t,o,h,l,c,v,g1.ADX
1662688800000,19325.0,19443.5,19322.1,19384.4,13372.178,28.1053177911769
1662692400000,19384.5,19965.8,19378.4,19936.0,82729.602,30.519130780761255
1662696000000,19936.0,20460.8,19916.5,20350.4,105535.888,33.60529755390802
1662699600000,20350.4,20737.9,20331.2,20526.3,78676.57,36.72545564586342
1662703200000,20526.4,20804.9,20472.4,20684.9,51725.201,40.644535367597506
1662706800000,20684.9,20750.0,20580.0,20623.6,36953.415,44.28368082349344
1662710400000,20623.6,20988.0,20618.5,20766.6,49212.478,47.73318693409085
1662714000000,20766.5,20784.6,20626.1,20742.3,33243.14,50.90764161948368
1662717600000,20742.2,21188.0,20710.0,21068.4,78824.953,53.930317525158394
1662721200000,21068.4,21086.0,20872.3,20931.7,37786.17,56.99336148946166
1662724800000,20931.7,21299.0,20916.9,21070.3,48311.357,60.0652642402144
1662728400000,21070.3,21092.7,20912.2,20998.8,39406.359,62.889061643620614
1662732000000,20998.8,21119.2,20956.1,21092.4,31886.169,65.51078307288499
1662735600000,21092.5,21345.0,21050.2,21258.5,57437.955,67.94782580927382
1662739200000,21258.5,21400.0,21136.0,21288.4,53244.097,70.21070504698808
1662742800000,21288.4,21438.0,21162.0,21237.4,35611.089,72.30565503602928
1662746400000,21237.4,21244.3,21117.0,21161.9,25195.385,73.83826244559883
1662750000000,21162.0,21300.5,21148.8,21280.0,21289.623,75.18969148366897
1662753600000,21280.1,21331.7,21200.0,21287.1,16505.877,76.43073728732756
1662757200000,21287.1,21330.0,21178.0,21241.7,14559.809,77.36043965990312
1662760800000,21241.7,21395.0,21220.0,21340.1,16966.901,78.11375813394636
1662764400000,21340.0,21666.0,21240.6,21352.0,46895.845,78.97395451105798
1662768000000,21352.0,21382.3,21153.6,21250.3,26183.076,78.48779065098314
1662771600000,21250.2,21342.2,21249.1,21281.9,10149.726,78.03635278091367
1662775200000,21282.3,21309.7,21191.0,21294.7,10570.083,76.46247254132606
1662778800000,21294.7,21375.8,21274.3,21294.5,9906.499,75.24946526108957
1662782400000,21294.4,21448.7,21288.1,21447.4,15874.384,74.2459346414747
1662786000000,21447.4,21670.0,21411.2,21532.2,40932.105,73.302630503391
1662789600000,21532.2,21572.0,21454.6,21515.5,15714.147,72.27865105071949
1662793200000,21515.5,21545.8,21240.0,21274.9,28558.826,69.2226318344161
1662796800000,21275.0,21378.3,21274.4,21318.2,14162.231,66.74205771272716
1662800400000,21318.2,21384.0,21305.0,21313.7,8530.486,64.22673153716246
1662804000000,21313.8,21370.1,21246.0,21333.4,12419.306,61.27245744150461
1662807600000,21333.3,21368.6,21275.7,21279.0,9074.593,58.70148502281898
1662811200000,21278.9,21355.6,21157.0,21302.4,25102.129,55.11430226622605
1662814800000,21302.4,21305.5,21123.8,21167.0,20152.094,52.737921473804576
1662818400000,21167.0,21277.0,21112.2,21234.4,17320.556,50.04252153574134
1662822000000,21234.5,21294.7,21183.8,21213.3,12192.682,47.37422088575976
1662825600000,21213.3,21442.0,21166.5,21401.1,30870.069,44.683163052337605
1662829200000,21401.1,21415.0,21271.5,21281.4,15530.745,41.71165425654982
1662832800000,21281.4,21480.0,21276.1,21436.1,19188.954,38.89122908272929
1662836400000,21436.1,21637.7,21425.5,21569.4,31252.291,36.48913346449527
1662840000000,21569.4,21588.9,21349.9,21414.3,26563.759,34.823218015855126
1662843600000,21414.2,21825.0,21411.1,21594.0,37486.807,34.887745750138144
1662847200000,21594.0,21800.0,21577.1,21750.5,36855.441,34.947664360543804
1662850800000,21750.6,21781.5,21634.1,21639.5,16952.217,34.97491772130611
1662854400000,21639.5,21673.0,21530.2,21540.4,16079.499,34.551300009491115
1662858000000,21540.4,21660.0,21522.2,21600.7,15144.68,34.08229484731488
1662861600000,21600.7,21616.3,21436.8,21500.2,15814.735,33.97012728804422
1662865200000,21500.1,21558.6,21500.1,21537.4,8228.362,34.21193957349662
1662868800000,21537.4,21632.0,21527.3,21549.1,10384.064,34.8923552463839
1662872400000,21549.2,21610.0,21517.0,21579.9,7545.198,35.34043502233447
1662876000000,21580.0,21624.0,21336.0,21437.9,28434.13,33.30358740976825
1662879600000,21437.9,21611.7,21424.0,21599.9,15995.296,31.412228912385334
1662883200000,21600.0,21726.0,21550.0,21663.7,22132.312,29.969738729890967
1662886800000,21663.7,21683.5,21574.3,21591.4,12884.699,28.154010931295137
1662890400000,21591.3,21666.4,21560.6,21584.3,10219.468,26.32890947087501
1662894000000,21584.3,21690.0,21584.2,21601.9,12950.377,26.67168526113753
1662897600000,21601.9,21647.1,21500.0,21607.9,18003.023,27.58358163185144
1662901200000,21607.9,21618.4,21500.0,21531.5,10856.671,28.43034254751436
1662904800000,21531.5,21556.9,21450.1,21502.7,14083.364,28.853782110367796
1662908400000,21502.8,21761.5,21489.0,21633.9,29665.352,26.865892118735196
1662912000000,21634.0,21719.4,21582.5,21669.2,16447.518,25.673484498144326
1662915600000,21669.3,21883.4,21590.0,21621.4,34865.33,25.711263741592557
1662919200000,21621.5,21672.8,21518.2,21541.7,16912.446,24.619084496167794
1662922800000,21541.8,21619.4,21535.0,21610.5,9575.05,23.69447612518378
1662926400000,21610.5,21670.3,21438.5,21628.2,28333.792,23.655307977101327
